prompt,class,environment,style,amount
"

A vintage sink in the hallway with ornate tiles surrounding it.",sink,hallway,vintage,Multiple
"

A single sink in a hallway with a Scandinavian design.",sink,hallway,scandinavian,Single
Two sinks in the hallway with a scandinavian style.,sink,hallway,scandinavian,Two
Three sinks in a hallway with a scandinavian style.,sink,hallway,scandinavian,Three
"

A sink with a Scandinavian design in the hallway.",sink,hallway,scandinavian,Multiple
"

A sink with a weathered finish in the cluttered hallway.",sink,hallway,messy,Single
Two sinks in the hallway with a messy style.,sink,hallway,messy,Two
Three sinks in a hallway with a messy style.,sink,hallway,messy,Three
"

A sink in the hallway with a cluttered surrounding. Dishes piled up, towels hanging haphazardly, and various toiletries scattered around. The sink itself may show signs of use, with water stains and",sink,hallway,messy,Multiple
"

A single sink in a clean-lined hallway with a minimalist design.",sink,hallway,clean,Single
Two sinks in the hallway with a clean design.,sink,hallway,clean,Two
Three sinks in a clean hallway.,sink,hallway,clean,Three
"

A hallway with a clean, minimalist design featuring a multiple of a white porcelain sink.",sink,hallway,clean,Multiple
"

A single sink in a hallway with a rustic, cozy design. Perhaps it's made of reclaimed wood or stone, with a vintage faucet and a decorative basin. The surrounding walls could be adorned",sink,hallway,cozy,Single
Two sinks in the hallway with a cozy style.,sink,hallway,cozy,Two
Three sinks in a cozy hallway.,sink,hallway,cozy,Three
"

A hallway with a cozy style featuring a multiple of sinks.",sink,hallway,cozy,Multiple
Modern style laundry room with a single sink.,sink,laundry room,modern,Single
Two sinks in a contemporary laundry room.,sink,laundry room,modern,Two
Three sinks in a contemporary laundry room.,sink,laundry room,modern,Three
"

A modern style laundry room with two sinks.",sink,laundry room,modern,Multiple
Minimalist style laundry room: single sink.,sink,laundry room,minimalist,Single
Two sinks in a minimalist laundry room.,sink,laundry room,minimalist,Two
Three sinks in a minimalist laundry room.,sink,laundry room,minimalist,Three
"

Minimalist style laundry room with a single sink.",sink,laundry room,minimalist,Multiple
"

A rustic-style laundry room sink.",sink,laundry room,rustic,Single
Two sinks in a rustic laundry room.,sink,laundry room,rustic,Two
Three sinks in a rustic laundry room.,sink,laundry room,rustic,Three
Rustic style laundry room with a wooden sink.,sink,laundry room,rustic,Multiple
"

Laundry room: Industrial-style sink with stainless steel finish.",sink,laundry room,industrial,Single
Two industrial-style sinks in a laundry room.,sink,laundry room,industrial,Two
Three sinks in a laundry room with an industrial style.,sink,laundry room,industrial,Three
"

Industrial-style laundry room with multiple sinks.",sink,laundry room,industrial,Multiple
"

Laundry room: Single luxury sink with marble countertop and gold fixtures.",sink,laundry room,luxury,Single
Two sinks in a laundry room with a luxury style.,sink,laundry room,luxury,Two
Three sinks in a spacious laundry room with a high-end design.,sink,laundry room,luxury,Three
"

Luxury style laundry room with a large, marble-topped sink. Two gold faucets with intricate designs. Cabinets in a rich, dark wood finish. White subway tiles on the walls. Plush,",sink,laundry room,luxury,Multiple
"

Laundry room: Vintage sink with porcelain finish and ornate details.",sink,laundry room,vintage,Single
Two vintage sinks in the laundry room.,sink,laundry room,vintage,Two
Three sinks in the laundry room with a vintage style.,sink,laundry room,vintage,Three
"

A vintage sink in the laundry room.",sink,laundry room,vintage,Multiple
"

A white porcelain sink with clean, simple lines, set against a backdrop of light wood cabinetry in a Scandinavian laundry room.",sink,laundry room,scandinavian,Single
Two sinks in a laundry room with a Scandinavian style.,sink,laundry room,scandinavian,Two
Three sinks in a laundry room with a scandinavian style.,sink,laundry room,scandinavian,Three
"

A white porcelain sink with wooden accents, set against a backdrop of light gray cabinetry, in a Scandinavian-style laundry room.",sink,laundry room,scandinavian,Multiple
"

Laundry room with a messy style: Old, weathered sink with peeling paint, cluttered countertop filled with detergent bottles and fabric softener dispenser, nearby towels and clothes scattered around.",sink,laundry room,messy,Single
Two sinks in the laundry room with a messy style.,sink,laundry room,messy,Two
Three sinks in the laundry room with a messy style.,sink,laundry room,messy,Three
"

A sink in the laundry room with a cluttered and messy appearance.",sink,laundry room,messy,Multiple
"

A single, clean-lined sink in a laundry room.",sink,laundry room,clean,Single
Two sinks in a clean laundry room.,sink,laundry room,clean,Two
Three sinks in a clean laundry room.,sink,laundry room,clean,Three
"

A clean-lined laundry room featuring a multiple of a white porcelain sink.",sink,laundry room,clean,Multiple
"

A single sink in a laundry room with a cozy cabin-like design.",sink,laundry room,cozy,Single
Two sinks in a cozy laundry room.,sink,laundry room,cozy,Two
Three sinks in a cozy laundry room.,sink,laundry room,cozy,Three
"

A sink with a vintage, farmhouse aesthetic in the laundry room.",sink,laundry room,cozy,Multiple
Modern style basement sink.,sink,basement,modern,Single
Two sinks in the basement with a modern design.,sink,basement,modern,Two
Three sinks in a basement with a modern design.,sink,basement,modern,Three
"

A modern style basement with a sleek sink integrated into the design.",sink,basement,modern,Multiple
Minimalist style basement sink.,sink,basement,minimalist,Single
Two sinks in a minimalist basement.,sink,basement,minimalist,Two
Three sinks in a minimalist basement.,sink,basement,minimalist,Three
"

Minimalist basement with a concrete floor and exposed brick walls. A white porcelain sink sits in one corner, simple and unadorned.",sink,basement,minimalist,Multiple
"

A rustic-style sink in a basement.",sink,basement,rustic,Single
Two sinks in the basement with a rustic style.,sink,basement,rustic,Two
Three sinks in a rustic basement.,sink,basement,rustic,Three
"

A rustic-style basement with a worn wooden sink.",sink,basement,rustic,Multiple
"

Basement: Industrial-style sink with rough concrete finish, exposed pipes, and large drain.",sink,basement,industrial,Single
Two industrial-style sinks in a basement.,sink,basement,industrial,Two
Three sinks in a basement with an industrial style.,sink,basement,industrial,Three
"

A basement with an industrial theme, featuring a large, rustic sink.",sink,basement,industrial,Multiple
"

A single sink in a basement finished with marble countertop and brass fixtures, surrounded by custom-designed cabinetry in a rich, dark wood. The sink itself is large and deep, perfect for washing bulky items or soaking",sink,basement,luxury,Single
A two-tiered marble sink in the dimly lit basement.,sink,basement,luxury,Two
Three sinks in a basement with a luxury design.,sink,basement,luxury,Three
"

A luxurious sink in a finished basement, surrounded by marble countertops and gold fixtures. The sink is large and deep, perfect for filling with bubbles for a relaxing soak. The faucet is ornate, with",sink,basement,luxury,Multiple
"

A vintage-style sink in a basement.",sink,basement,vintage,Single
Two vintage sinks in the basement.,sink,basement,vintage,Two
Three vintage sinks in a dimly lit basement.,sink,basement,vintage,Three
"

A vintage sink in the dimly lit basement, surrounded by aged brick walls.",sink,basement,vintage,Multiple
"

A single sink in a basement with Scandinavian decor. Wooden cabinetry, white porcelain, and simple, clean lines.",sink,basement,scandinavian,Single
"

Two sinks in a basement with a Scandinavian style.",sink,basement,scandinavian,Two
Three sinks in a basement with a scandinavian style.,sink,basement,scandinavian,Three
"

A sink in a basement with Scandinavian decor. Wooden cabinets, white porcelain, and a window above letting in natural light.",sink,basement,scandinavian,Multiple
"Basement sink, cluttered surroundings. Old, rustic appearance. Wires and pipes visible. Stained countertop. Dirty dishes piled up. Moldy grout. Water stains on the walls. Cracked por",sink,basement,messy,Single
Two sinks in the basement with a messy style.,sink,basement,messy,Two
Three sinks in a cluttered basement.,sink,basement,messy,Three
"

A cluttered basement with a rusted sink surrounded by old tools and piles of debris.",sink,basement,messy,Multiple
"

A clean-styled sink in a basement.",sink,basement,clean,Single
Two sinks in a clean basement.,sink,basement,clean,Two
Three sinks in a clean basement.,sink,basement,clean,Three
"

A clean-styled basement with a single sink.",sink,basement,clean,Multiple
A single sink in a cozy basement with rustic decor.,sink,basement,cozy,Single
Two sinks in a cozy basement.,sink,basement,cozy,Two
Three of an antique sink in a cozy basement.,sink,basement,cozy,Three
"

A cozy basement nook with a vintage sink, adorned with potted plants and soft lighting.",sink,basement,cozy,Multiple
"

Modern garden with a single sink.",sink,garden,modern,Single
Two sinks in a garden with a modern style.,sink,garden,modern,Two
Three sinks in a garden with a modern design.,sink,garden,modern,Three
"

A modern garden with a stylish sink, integrated into a stone countertop.",sink,garden,modern,Multiple
Minimalist garden sink.,sink,garden,minimalist,Single
Two sinks in a garden with a minimalist style.,sink,garden,minimalist,Two
Three sinks in a minimalist garden setting.,sink,garden,minimalist,Three
"

Minimalist garden design: A single sink embedded in a stone slab, surrounded by pebbles.",sink,garden,minimalist,Multiple
"

A rustic garden sink, singular.",sink,garden,rustic,Single
Two sinks in a garden with a rustic style.,sink,garden,rustic,Two
Three sinks in a garden with a rustic style.,sink,garden,rustic,Three
"

A rustic garden scene featuring a stone sink surrounded by lush greenery and colorful flowers.",sink,garden,rustic,Multiple
"

Industrial-style garden sink: A large, weathered metal basin set on a concrete base, complete with a single faucet and a drain.",sink,garden,industrial,Single
Two industrial-style sinks in the garden.,sink,garden,industrial,Two
Three sinks in a garden with an industrial style.,sink,garden,industrial,Three
"

Industrial-style garden with a large concrete sink.",sink,garden,industrial,Multiple
"

A garden oasis with a large, luxurious sink crafted from marble or granite, complete with a waterfall faucet and a tranquil pond reflection.",sink,garden,luxury,Single
Two sinks in a garden with a luxury style.,sink,garden,luxury,Two
Three sinks in a garden with a luxury style.,sink,garden,luxury,Three
"

A sink made of marble, set into a stone waterfall feature in a lush garden. The sink is adorned with gold accents and intricate tile designs. A nearby fountain adds a soothing sound to the",sink,garden,luxury,Multiple
"

A vintage garden sink, showcasing weathered porcelain or enamel finish, nestled among lush greenery and colorful flowers.",sink,garden,vintage,Single
Two vintage sinks in the garden.,sink,garden,vintage,Two
Three sinks in a garden with a vintage style.,sink,garden,vintage,Three
"

A vintage sink in a lush garden, surrounded by colorful flowers and stone tiles.",sink,garden,vintage,Multiple
"

A single sink in a garden with a Scandinavian design.",sink,garden,scandinavian,Single
Two sinks in a garden with a scandinavian style.,sink,garden,scandinavian,Two
Three sinks in a garden with a scandinavian style.,sink,garden,scandinavian,Three
"

A sink with a Scandinavian design, integrated into a stone garden setting.",sink,garden,scandinavian,Multiple
"

A weathered sink, half-hidden in overgrown foliage, amidst a chaotic garden setting.",sink,garden,messy,Single
Two sinks in the garden with a messy style.,sink,garden,messy,Two
Three sinks in a garden with a messy style.,sink,garden,messy,Three
"

A weathered sink, half-buried in a wildflower garden, surrounded by overgrown foliage.",sink,garden,messy,Multiple
"

A single, clean-lined garden sink with a contemporary design.",sink,garden,clean,Single
Two sinks in a garden with a clean design.,sink,garden,clean,Two
Three sinks in a garden with a clean design.,sink,garden,clean,Three
"

A clean-lined garden with a modern aesthetic, featuring a multiple of sinks arranged in a serene arrangement.",sink,garden,clean,Multiple
"

A garden sink with a rustic, cozy design. Stone or brick exterior, copper basin, and a thatched roof. Flowers and herbs surrounding it.",sink,garden,cozy,Single
Two sinks in a garden with a cozy style.,sink,garden,cozy,Two
Three sinks in a garden with a cozy style.,sink,garden,cozy,Three
"

A garden nook with a quaint stone sink, surrounded by lush greenery and colorful flowers.",sink,garden,cozy,Multiple
Modern patio with a single sink.,sink,patio,modern,Single
Two sinks in a patio with a modern design.,sink,patio,modern,Two
Three sinks on a patio with a modern design.,sink,patio,modern,Three
Modern patio with a sink integrated into the design.,sink,patio,modern,Multiple
Minimalist style patio with a single sink.,sink,patio,minimalist,Single
Two sinks in a minimalist patio.,sink,patio,minimalist,Two
Three sinks on a patio with a minimalist design.,sink,patio,minimalist,Three
Minimalist patio with a single sink.,sink,patio,minimalist,Multiple
"

Patio area with a rustic sink.",sink,patio,rustic,Single
Two sinks in a patio with a rustic style.,sink,patio,rustic,Two
Three sinks in a patio with a rustic style.,sink,patio,rustic,Three
"

A patio with a rustic sink, featuring a worn stone basin and weathered metal faucet.",sink,patio,rustic,Multiple
"

Patio with an industrial-style sink.",sink,patio,industrial,Single
Two sinks in a patio with an industrial style.,sink,patio,industrial,Two
Three sinks in a patio with an industrial style.,sink,patio,industrial,Three
"

Patio with an industrial style: multiple sinks.",sink,patio,industrial,Multiple
"

A single, elegant sink with a large, marble basin, nestled among lush greenery in a spacious patio. The sink features ornate gold accents and a sleek, modern faucet. The surrounding",sink,patio,luxury,Single
Two sinks in a patio with a luxury style.,sink,patio,luxury,Two
Three sinks in a patio with a luxury style.,sink,patio,luxury,Three
"

A patio adorned with a large, marble sink, complete with gold fixtures and a waterfall faucet.",sink,patio,luxury,Multiple
"

A vintage-style sink in a patio setting.",sink,patio,vintage,Single
Two vintage sinks in a patio setting.,sink,patio,vintage,Two
Three sinks on a patio with a vintage look.,sink,patio,vintage,Three
"

A vintage patio with a sink, integrated into a weathered stone table.",sink,patio,vintage,Multiple
"

Patio setting with a single Scandinavian-style sink.",sink,patio,scandinavian,Single
Two sinks in a patio with a scandinavian style.,sink,patio,scandinavian,Two
Three sinks on a patio with a scandinavian design.,sink,patio,scandinavian,Three
"

Patio with a Scandinavian style sink, featuring a simple yet elegant design, surrounded by natural stones or wooden elements.",sink,patio,scandinavian,Multiple
"

Patio area with a weathered sink, filled with lush greenery and colorful flowers.",sink,patio,messy,Single
Two sinks in a patio with a messy style.,sink,patio,messy,Two
Three sinks in a messy patio.,sink,patio,messy,Three
"

A patio with a sunken sink, surrounded by piles of plants and gardening tools.",sink,patio,messy,Multiple
"

Patio with a clean-styled sink.",sink,patio,clean,Single
Two sinks in a patio with a clean design.,sink,patio,clean,Two
Three sinks in a patio with a clean design.,sink,patio,clean,Three
"

A patio with a clean design, featuring a multiple of a sink.",sink,patio,clean,Multiple
"

A single sink with a rustic patina, nestled among lush greenery and colorful flowers in a cozy patio setting.",sink,patio,cozy,Single
Two sinks in a patio with a cozy style.,sink,patio,cozy,Two
Three sinks in a patio with a cozy style.,sink,patio,cozy,Three
"

A patio with a cozy style, featuring a multiple of a sink integrated into the design.",sink,patio,cozy,Multiple
A bookshelf in the living room with a modern design.,bookshelf,living room,modern,Single
Two bookshelves in a contemporary living room.,bookshelf,living room,modern,Two
Three bookshelves in a contemporary living room.,bookshelf,living room,modern,Three
"A living room with a modern style, featuring a bookshelf.",bookshelf,living room,modern,Multiple
A minimalist living room with a single bookshelf.,bookshelf,living room,minimalist,Single
Two bookshelves in a living room with a minimalist style.,bookshelf,living room,minimalist,Two
Three bookshelves in a living room with a minimalist style.,bookshelf,living room,minimalist,Three
"

Minimalist living room with a single bookshelf against the wall.",bookshelf,living room,minimalist,Multiple
A rustic style bookshelf in the living room.,bookshelf,living room,rustic,Single
Two rustic style bookshelves in the living room.,bookshelf,living room,rustic,Two
Three bookshelves in a rustic living room.,bookshelf,living room,rustic,Three
"

A living room adorned with a rustic bookshelf.",bookshelf,living room,rustic,Multiple
"

A living room featuring an industrial-style bookshelf.",bookshelf,living room,industrial,Single
Two bookshelves in a living room with an industrial style.,bookshelf,living room,industrial,Two
Three bookshelves in a living room with an industrial style.,bookshelf,living room,industrial,Three
"

A living room featuring an industrial-style bookshelf with exposed brick walls and metal piping.",bookshelf,living room,industrial,Multiple
"A bookshelf in the living room, adorned with gold accents and velvet textures.",bookshelf,living room,luxury,Single
Two bookshelves in a luxurious living room.,bookshelf,living room,luxury,Two
Three bookshelves in a luxurious living room.,bookshelf,living room,luxury,Three
"

Luxury living room with a grand bookshelf, adorned with leather-bound books and gold accents.",bookshelf,living room,luxury,Multiple
A vintage bookshelf in the living room.,bookshelf,living room,vintage,Single
Two vintage bookshelves in the living room.,bookshelf,living room,vintage,Two
Three bookshelves in the living room with a vintage style.,bookshelf,living room,vintage,Three
"

A vintage-style living room with a large, ornate bookshelf.",bookshelf,living room,vintage,Multiple
A bookshelf in the living room with a scandinavian style.,bookshelf,living room,scandinavian,Single
Two bookshelves in a living room with a Scandinavian style.,bookshelf,living room,scandinavian,Two
Three bookshelves in a living room with a scandinavian style.,bookshelf,living room,scandinavian,Three
"

A living room featuring a Scandinavian-style bookshelf with wooden shelves and clean lines.",bookshelf,living room,scandinavian,Multiple
"

A bookshelf in the living room with a messy style.",bookshelf,living room,messy,Single
Two bookshelves in a living room with a messy style.,bookshelf,living room,messy,Two
Three bookshelves in a cluttered living room.,bookshelf,living room,messy,Three
"

A living room with a messy style, cluttered bookshelf.",bookshelf,living room,messy,Multiple
A single bookshelf in a clean-styled living room.,bookshelf,living room,clean,Single
Two bookshelves in a living room with a clean design.,bookshelf,living room,clean,Two
Three bookshelves in a clean living room.,bookshelf,living room,clean,Three
"

A living room with a clean, minimalist design featuring a bookshelf.",bookshelf,living room,clean,Multiple
A bookshelf in the living room with a warm and inviting style.,bookshelf,living room,cozy,Single
Two bookshelves in a cozy living room.,bookshelf,living room,cozy,Two
Three bookshelves in a cozy living room.,bookshelf,living room,cozy,Three
"

A living room with a warm and inviting atmosphere, featuring a large, wooden bookshelf filled with books and decorated with cozy knick-knacks.",bookshelf,living room,cozy,Multiple
A modern bedroom with a bookshelf against the wall.,bookshelf,bedroom,modern,Single
Two bookshelves in a bedroom with a modern style.,bookshelf,bedroom,modern,Two
Three bookshelves in a bedroom with a modern style.,bookshelf,bedroom,modern,Three
A modern bedroom with two bookshelves against the wall.,bookshelf,bedroom,modern,Multiple
"

A minimalist bedroom featuring a single bookshelf with clean lines and a muted color palette.",bookshelf,bedroom,minimalist,Single
Two bookshelves in a minimalist bedroom.,bookshelf,bedroom,minimalist,Two
Three bookshelves in a minimalist bedroom.,bookshelf,bedroom,minimalist,Three
"

Minimalist bedroom with a single bookshelf against the wall.",bookshelf,bedroom,minimalist,Multiple
A rustic style bookshelf in the bedroom.,bookshelf,bedroom,rustic,Single
Two rustic bookshelves in the bedroom.,bookshelf,bedroom,rustic,Two
Three bookshelves in a bedroom with a rustic style.,bookshelf,bedroom,rustic,Three
"

A rustic bedroom with a large, wooden bookshelf against a stone wall.",bookshelf,bedroom,rustic,Multiple
"

A bedroom with an industrial theme, featuring a single bookshelf with exposed brick or concrete background. The bookshelf may have metal or wooden shelves, and may include industrial elements such as pipes or metal brackets. The books",bookshelf,bedroom,industrial,Single
Two industrial style bookshelves in the bedroom.,bookshelf,bedroom,industrial,Two
Three bookshelves in a bedroom with an industrial style.,bookshelf,bedroom,industrial,Three
"

A bedroom with an industrial theme, featuring a large bookshelf made of metal pipes and wooden shelves.",bookshelf,bedroom,industrial,Multiple
"A large, ornate bookshelf in a bedroom with a plush velvet finish and gold accents.",bookshelf,bedroom,luxury,Single
Two bookshelves in a bedroom with a luxury style.,bookshelf,bedroom,luxury,Two
Three bookshelves in a bedroom with a luxury style.,bookshelf,bedroom,luxury,Three
"

A bedroom adorned with a grand, mahogany bookshelf, filled with leather-bound books and antique trinkets, exuding an air of opulence.",bookshelf,bedroom,luxury,Multiple
A vintage bookshelf in the bedroom.,bookshelf,bedroom,vintage,Single
Two vintage bookshelves in the bedroom.,bookshelf,bedroom,vintage,Two
Three bookshelves in a bedroom with a vintage style.,bookshelf,bedroom,vintage,Three
"

A vintage-style bedroom with a wooden bookshelf against a textured wall, adorned with books, antique knick-knacks, and lush greenery.",bookshelf,bedroom,vintage,Multiple
A bookshelf in a bedroom with a scandinavian design.,bookshelf,bedroom,scandinavian,Single
Two bookshelves in a bedroom with a Scandinavian style.,bookshelf,bedroom,scandinavian,Two
Three bookshelves in a bedroom with a scandinavian style.,bookshelf,bedroom,scandinavian,Three
"

A Scandinavian-style bedroom with a wooden bookshelf against a white wall. The bookshelf is filled with books, adding warmth and texture to the minimalist space. The wooden shelves have a natural finish, and",bookshelf,bedroom,scandinavian,Multiple
"

A bedroom with a messy style, cluttered with various items. Amidst the chaos, a bookshelf stands out, filled with an eclectic mix of books, trinkets, and knick-knacks",bookshelf,bedroom,messy,Single
Two bookshelves in a bedroom with a messy style.,bookshelf,bedroom,messy,Two
Three bookshelves in a bedroom with a messy style.,bookshelf,bedroom,messy,Three
"

A bedroom with a messy style, cluttered with various items, featuring a bookshelf overflowing with books and trinkets.",bookshelf,bedroom,messy,Multiple
A clean-lined bookshelf in a bedroom.,bookshelf,bedroom,clean,Single
Two bookshelves in a clean bedroom.,bookshelf,bedroom,clean,Two
Three bookshelves in a clean bedroom.,bookshelf,bedroom,clean,Three
"

A clean-lined bedroom featuring a multiple of a bookshelf with a minimalist design.",bookshelf,bedroom,clean,Multiple
A bookshelf in a bedroom with a cozy style.,bookshelf,bedroom,cozy,Single
Two bookshelves in a cozy bedroom.,bookshelf,bedroom,cozy,Two
Three bookshelves in a cozy bedroom.,bookshelf,bedroom,cozy,Three
"

A cozy bedroom with a wooden bookshelf against a soft gray wall, filled with books and decorated with fairy lights.",bookshelf,bedroom,cozy,Multiple
A single bookshelf in a modern kitchen.,bookshelf,kitchen,modern,Single
Two bookshelves in a contemporary kitchen.,bookshelf,kitchen,modern,Two
Three bookshelves in a contemporary kitchen.,bookshelf,kitchen,modern,Three
Modern kitchen with a bookshelf against the wall.,bookshelf,kitchen,modern,Multiple
"

A single bookshelf in a minimalist kitchen.",bookshelf,kitchen,minimalist,Single
Two bookshelves in a minimalist kitchen.,bookshelf,kitchen,minimalist,Two
Three bookshelves in a minimalist kitchen.,bookshelf,kitchen,minimalist,Three
Minimalist kitchen with a single bookshelf against a white wall.,bookshelf,kitchen,minimalist,Multiple
A rustic style bookshelf in the kitchen.,bookshelf,kitchen,rustic,Single
Two bookshelves in a kitchen with a rustic style.,bookshelf,kitchen,rustic,Two
Three bookshelves in a rustic kitchen.,bookshelf,kitchen,rustic,Three
"

A rustic-style kitchen with a wooden bookshelf against a brick wall.",bookshelf,kitchen,rustic,Multiple
"

A single industrial-style bookshelf in the kitchen.",bookshelf,kitchen,industrial,Single
Two bookshelves in a kitchen with an industrial style.,bookshelf,kitchen,industrial,Two
Three bookshelves in a kitchen with an industrial style.,bookshelf,kitchen,industrial,Three
"

A kitchen with an industrial theme, featuring a bookshelf.",bookshelf,kitchen,industrial,Multiple
A bookshelf in the kitchen with a luxury style.,bookshelf,kitchen,luxury,Single
Two bookshelves in a kitchen with a luxury style.,bookshelf,kitchen,luxury,Two
Three bookshelves in a kitchen with a luxury style.,bookshelf,kitchen,luxury,Three
"

A kitchen adorned with a grand, luxury-style bookshelf, showcasing an exquisite collection of cookbooks and fine tableware.",bookshelf,kitchen,luxury,Multiple
A vintage style bookshelf in the kitchen.,bookshelf,kitchen,vintage,Single
Two bookshelves in the kitchen with a vintage style.,bookshelf,kitchen,vintage,Two
Three bookshelves in the kitchen with a vintage style.,bookshelf,kitchen,vintage,Three
"

A vintage-style kitchen with a bookshelf filled with cookbooks and antique dishes.",bookshelf,kitchen,vintage,Multiple
"

A single bookshelf in a kitchen with a Scandinavian style.",bookshelf,kitchen,scandinavian,Single
Two bookshelves in a kitchen with a Scandinavian style.,bookshelf,kitchen,scandinavian,Two
Three bookshelves in a kitchen with a Scandinavian style.,bookshelf,kitchen,scandinavian,Three
"

A Scandinavian-style kitchen with a wooden bookshelf against a white wall, filled with cookbooks and herbs in glass jars.",bookshelf,kitchen,scandinavian,Multiple
"

A cluttered kitchen with a worn-out bookshelf crammed full of cookbooks, herbs in jars, and various kitchen gadgets.",bookshelf,kitchen,messy,Single
Two bookshelves in a kitchen with a messy style.,bookshelf,kitchen,messy,Two
Three bookshelves in a messy kitchen.,bookshelf,kitchen,messy,Three
"

A messy kitchen with a cluttered bookshelf.",bookshelf,kitchen,messy,Multiple
A single bookshelf in a clean-styled kitchen.,bookshelf,kitchen,clean,Single
Two bookshelves in a clean kitchen.,bookshelf,kitchen,clean,Two
Three bookshelves in a clean kitchen.,bookshelf,kitchen,clean,Three
"

A clean-lined kitchen with a bookshelf integrated into the design, holding cookbooks and spices.",bookshelf,kitchen,clean,Multiple
A single bookshelf in a kitchen with a cozy style.,bookshelf,kitchen,cozy,Single
Two bookshelves in a kitchen with a cozy style.,bookshelf,kitchen,cozy,Two
Three bookshelves in a kitchen with a cozy style.,bookshelf,kitchen,cozy,Three
"

A kitchen with a warm and inviting atmosphere, featuring a wooden bookshelf filled with cookbooks and herbs.",bookshelf,kitchen,cozy,Multiple
A modern bathroom with a single bookshelf.,bookshelf,bathroom,modern,Single
Two bookshelves in a contemporary bathroom.,bookshelf,bathroom,modern,Two
Three bookshelves in a contemporary bathroom.,bookshelf,bathroom,modern,Three
"A bathroom with a modern style, featuring a bookshelf.",bookshelf,bathroom,modern,Multiple
"

A bathroom with a minimalist design, featuring a single bookshelf.",bookshelf,bathroom,minimalist,Single
Two bookshelves in a minimalist bathroom.,bookshelf,bathroom,minimalist,Two
Three bookshelves in a minimalist bathroom.,bookshelf,bathroom,minimalist,Three
"

Minimalist bathroom with a single bookshelf against the wall.",bookshelf,bathroom,minimalist,Multiple
"

A bathroom adorned with rustic charm, featuring a single bookshelf.",bookshelf,bathroom,rustic,Single
Two bookshelves in a bathroom with a rustic style.,bookshelf,bathroom,rustic,Two
Three bookshelves in a rustic bathroom.,bookshelf,bathroom,rustic,Three
"

A bathroom adorned with a rustic bookshelf.",bookshelf,bathroom,rustic,Multiple
Bathroom with industrial style: bookshelf.,bookshelf,bathroom,industrial,Single
Two industrial-style bookshelves in a bathroom.,bookshelf,bathroom,industrial,Two
Three bookshelves in a bathroom with an industrial style.,bookshelf,bathroom,industrial,Three
"

A bathroom with an industrial theme, featuring a bookshelf.",bookshelf,bathroom,industrial,Multiple
"A bathroom adorned with marble tiles, featuring a large, elegant bookshelf filled with lush, green plants and scented candles.",bookshelf,bathroom,luxury,Single
Two bookshelves in a bathroom with a luxurious design.,bookshelf,bathroom,luxury,Two
Three bookshelves in a bathroom with a luxurious design.,bookshelf,bathroom,luxury,Three
"

A bathroom adorned with marble tiles, featuring a spacious and elegant bookshelf filled with high-end monogrammed books and designer soaps.",bookshelf,bathroom,luxury,Multiple
"

A vintage-style bookshelf in a bathroom setting.",bookshelf,bathroom,vintage,Single
Two vintage bookshelves in a bathroom.,bookshelf,bathroom,vintage,Two
Three bookshelves in a vintage bathroom.,bookshelf,bathroom,vintage,Three
"

A vintage bathroom with a freestanding clawfoot tub. A bookshelf filled with antique books and botanical prints lines one wall.",bookshelf,bathroom,vintage,Multiple
"

A bathroom adorned with Scandinavian decor features a single bookshelf.",bookshelf,bathroom,scandinavian,Single
Two bookshelves in a bathroom with a Scandinavian style.,bookshelf,bathroom,scandinavian,Two
Three bookshelves in a bathroom with a Scandinavian style.,bookshelf,bathroom,scandinavian,Three
"

A bathroom adorned with Scandinavian decor, featuring a bookshelf.",bookshelf,bathroom,scandinavian,Multiple
"

A bathroom with a messy style, featuring a single bookshelf filled with an eclectic mix of books, toiletries, and various trinkets.",bookshelf,bathroom,messy,Single
Two bookshelves in a messy bathroom.,bookshelf,bathroom,messy,Two
Three bookshelves in a messy bathroom.,bookshelf,bathroom,messy,Three
"

A bathroom with a messy style, cluttered with towels and toiletries. In one corner, a bookshelf overflowing with books, magazines, and various trinkets.",bookshelf,bathroom,messy,Multiple
"A single bookshelf in a clean, minimalist bathroom.",bookshelf,bathroom,clean,Single
Two bookshelves in a clean bathroom.,bookshelf,bathroom,clean,Two
Three bookshelves in a clean bathroom.,bookshelf,bathroom,clean,Three
"

A bathroom with a clean, minimalist design, featuring a bookshelf.",bookshelf,bathroom,clean,Multiple
"A bookshelf in a bathroom with a spa-like, cozy design.",bookshelf,bathroom,cozy,Single
Two bookshelves in a bathroom with a cozy style.,bookshelf,bathroom,cozy,Two
Three bookshelves in a bathroom with a cozy style.,bookshelf,bathroom,cozy,Three
"

A bathroom with a warm and inviting atmosphere, featuring a bookshelf filled with towels and bathing essentials. The bookshelf is adorned with wooden accents and soft lighting, creating a cozy and relaxing space",bookshelf,bathroom,cozy,Multiple
A bookshelf in the dining room with a modern design.,bookshelf,dining room,modern,Single
Two bookshelves in a dining room with a modern style.,bookshelf,dining room,modern,Two
Three bookshelves in a dining room with a modern style.,bookshelf,dining room,modern,Three
"A dining room with a modern style, featuring a bookshelf.",bookshelf,dining room,modern,Multiple
"

A single bookshelf in a minimalist dining room.",bookshelf,dining room,minimalist,Single
Two bookshelves in a dining room with a minimalist style.,bookshelf,dining room,minimalist,Two
Three bookshelves in a dining room with a minimalist design.,bookshelf,dining room,minimalist,Three
