prompt,class,environment,style,amount
Three televisions on a balcony with a minimalist design.,television,balcony,clean,Three
"

A balcony with a clean design, featuring a television mounted on the wall.",television,balcony,clean,Multiple
"

A television set on a wooden balcony, surrounded by plush cushions and warm blankets, creating a cozy nook for enjoying movies under the stars.",television,balcony,cozy,Single
Two televisions on a cozy balcony.,television,balcony,cozy,Two
Three televisions on a cozy balcony.,television,balcony,cozy,Three
"

A balcony with a cozy seating area, featuring a television mounted on a brick wall.",television,balcony,cozy,Multiple
A single television in the hallway with a modern design.,television,hallway,modern,Single
Two televisions in a modern hallway.,television,hallway,modern,Two
Three televisions in a contemporary hallway.,television,hallway,modern,Three
A television mounted on a modern style wall in the hallway.,television,hallway,modern,Multiple
Minimalist hallway with a single television on the wall.,television,hallway,minimalist,Single
Two televisions in a minimalist hallway.,television,hallway,minimalist,Two
Three televisions on a minimalist hallway wall.,television,hallway,minimalist,Three
Minimalist hallway with a large television mounted on the wall.,television,hallway,minimalist,Multiple
A rustic-style television in the hallway.,television,hallway,rustic,Single
Two televisions with a rustic style in the hallway.,television,hallway,rustic,Two
Three televisions with rustic style in the hallway.,television,hallway,rustic,Three
"

A rustic hallway with a wooden television cabinet, displaying an old television set.",television,hallway,rustic,Multiple
"

A single industrial-style television mounted on a raw brick wall in a hallway.",television,hallway,industrial,Single
Two industrial-style televisions in the hallway.,television,hallway,industrial,Two
Three industrial-style televisions in the hallway.,television,hallway,industrial,Three
"

A television mounted on a raw brick wall in a hallway with exposed pipes and ducts.",television,hallway,industrial,Multiple
"A large, flat-screen television mounted on a gold-framed wall in a grand hallway.",television,hallway,luxury,Single
Two televisions in a grand hallway with a luxurious style.,television,hallway,luxury,Two
Three televisions in a grand hallway with a luxurious design.,television,hallway,luxury,Three
"

A grand television, framed in gold and marble, mounted on a textured wallpaper in a luxurious hallway.",television,hallway,luxury,Multiple
"

A vintage television set in the hallway.",television,hallway,vintage,Single
Two vintage televisions in the hallway.,television,hallway,vintage,Two
Three vintage televisions in the hallway.,television,hallway,vintage,Three
"

A vintage television set in the hallway, surrounded by floral wallpaper and antique decorations.",television,hallway,vintage,Multiple
"

A single television with a Scandinavian design in the hallway.",television,hallway,scandinavian,Single
Two televisions in a Scandinavian-style hallway.,television,hallway,scandinavian,Two
Three televisions in a Scandinavian-style hallway.,television,hallway,scandinavian,Three
"

A Scandinavian-style hallway with a large, wooden television cabinet housing a flat-screen television.",television,hallway,scandinavian,Multiple
"

Television in a cluttered hallway with wires exposed and posters on the walls.",television,hallway,messy,Single
Two televisions in a hallway with a messy style.,television,hallway,messy,Two
Three televisions in a cluttered hallway.,television,hallway,messy,Three
"

A television mounted on the wall in a cluttered hallway with wires and cables visible.",television,hallway,messy,Multiple
A single television in a hallway with a clean design.,television,hallway,clean,Single
Two televisions in a clean-styled hallway.,television,hallway,clean,Two
Three televisions aligned on a clean hallway wall.,television,hallway,clean,Three
"

A television mounted on a clean, minimalist wall in a hallway.",television,hallway,clean,Multiple
"A television in the hallway with a rustic, vintage style.",television,hallway,cozy,Single
Two televisions in a cozy hallway.,television,hallway,cozy,Two
Three televisions in a cozy hallway with plush rugs and warm lighting.,television,hallway,cozy,Three
"

A hallway adorned with a wooden television cabinet, the television screen glowing softly with a warm, inviting light, surrounded by plush cushions and cozy blankets.",television,hallway,cozy,Multiple
"

A single television with a modern design in a laundry room.",television,laundry room,modern,Single
Two televisions in a modern laundry room.,television,laundry room,modern,Two
Three televisions in a contemporary laundry room.,television,laundry room,modern,Three
"

A flat-screen television mounted on a modern laundry room wall.",television,laundry room,modern,Multiple
"

Minimalist style laundry room with a single television on the wall.",television,laundry room,minimalist,Single
Two televisions in a laundry room with a minimalist style.,television,laundry room,minimalist,Two
Three televisions in a minimalist laundry room.,television,laundry room,minimalist,Three
"

Minimalist laundry room with a television mounted on a white, textured wall. The television is the only color in the room, surrounded by monochromatic shades of gray and white. The space is open, with clean lines",television,laundry room,minimalist,Multiple
"

A rustic-style laundry room with a single television on the wall.",television,laundry room,rustic,Single
Two televisions in a rustic laundry room.,television,laundry room,rustic,Two
Three televisions in a rustic laundry room.,television,laundry room,rustic,Three
"

A rustic laundry room with a worn wooden shelf holding a television.",television,laundry room,rustic,Multiple
"

Laundry room with an industrial style: Single television on a concrete wall.",television,laundry room,industrial,Single
Two industrial-style televisions in a laundry room.,television,laundry room,industrial,Two
Three industrial-style televisions in a laundry room.,television,laundry room,industrial,Three
"

Laundry room with industrial style: Television mounted on brick wall.",television,laundry room,industrial,Multiple
"

Laundry room with a large, sleek television mounted on the wall, surrounded by high-end decor and luxurious textures.",television,laundry room,luxury,Single
Two televisions in a laundry room with a luxury style.,television,laundry room,luxury,Two
Three televisions in a stylish laundry room.,television,laundry room,luxury,Three
"

Laundry room with a large, luxurious television mounted on the wall. White marble surround and gold accents. Plush seating area nearby for comfortable viewing.",television,laundry room,luxury,Multiple
"

A vintage television set in the laundry room.",television,laundry room,vintage,Single
Two vintage televisions in a laundry room.,television,laundry room,vintage,Two
Three vintage televisions in a laundry room.,television,laundry room,vintage,Three
"

Laundry room with a vintage aesthetic: a worn-out wooden cabinet housing a television set from the 1950s.",television,laundry room,vintage,Multiple
"

Laundry room with a single Scandinavian-style television.",television,laundry room,scandinavian,Single
Two televisions in a Scandinavian-style laundry room.,television,laundry room,scandinavian,Two
Three televisions in a laundry room with a Scandinavian style.,television,laundry room,scandinavian,Three
"

A Scandinavian-style laundry room with a television mounted on a white-painted brick wall. A wooden drying rack stands in the corner, next to a window with white curtains. A minimalist shelf holds a",television,laundry room,scandinavian,Multiple
"

Television in a cluttered laundry room.",television,laundry room,messy,Single
Two televisions in a cluttered laundry room.,television,laundry room,messy,Two
Three televisions in a cluttered laundry room.,television,laundry room,messy,Three
"

A laundry room with a cluttered style, featuring a television mounted on a wall amidst piles of laundry and various household items.",television,laundry room,messy,Multiple
"

A single television in a clean, minimalist laundry room.",television,laundry room,clean,Single
Two televisions in a clean laundry room.,television,laundry room,clean,Two
Three televisions in a clean laundry room.,television,laundry room,clean,Three
"

A sleek television mounted on a clean white wall in a laundry room.",television,laundry room,clean,Multiple
"

A single television in a laundry room with a cozy style. Consider adding plush seating and warm lighting for a comfortable viewing experience.",television,laundry room,cozy,Single
Two televisions in a cozy laundry room.,television,laundry room,cozy,Two
Three televisions in a cozy laundry room.,television,laundry room,cozy,Three
"

A laundry room with a cozy style, featuring a television mounted on a distressed wood wall.",television,laundry room,cozy,Multiple
"

A television with a contemporary design in the basement.",television,basement,modern,Single
Two televisions in a modern basement.,television,basement,modern,Two
Three televisions in a contemporary basement.,television,basement,modern,Three
"

A basement media room with a modern television.",television,basement,modern,Multiple
"

Minimalist basement with a single television on a sleek, industrial-style shelf.",television,basement,minimalist,Single
Two televisions in a minimalist basement.,television,basement,minimalist,Two
Three televisions in a minimalist basement.,television,basement,minimalist,Three
"

Minimalist basement with a large television mounted on the wall.",television,basement,minimalist,Multiple
"

A rustic-style television in a basement setting.",television,basement,rustic,Single
Two televisions in a rustic basement.,television,basement,rustic,Two
Three televisions in a rustic basement.,television,basement,rustic,Three
"

A rustic basement with a worn wooden floor. A brick fireplace crackles with warmth. Hanging above it, a large, old television with a wooden frame. Shelves lined with antique jars and bottles flank the television",television,basement,rustic,Multiple
"

A television set in a raw concrete basement, surrounded by industrial pipes and metal shelves.",television,basement,industrial,Single
Two industrial-style televisions in a basement.,television,basement,industrial,Two
Three industrial-style televisions in a basement.,television,basement,industrial,Three
"

Basement with industrial decor, large television mounted on concrete wall.",television,basement,industrial,Multiple
"

A large, flat-screen television with a sleek, wooden frame and gold accents, mounted on a textured stone wall in a dimly lit basement lounge area. Plush, velvet seating surrounds the space,",television,basement,luxury,Single
Two televisions in a basement with a luxury style.,television,basement,luxury,Two
Three televisions in a basement with a luxurious design.,television,basement,luxury,Three
"

A basement lounge with a plush, velvet seating area surrounding a large, flat-screen television with gold accents and a sleek, black frame. The walls are adorned with rich, textured fabrics and",television,basement,luxury,Multiple
"

A vintage television set in a dimly lit basement.",television,basement,vintage,Single
Two vintage televisions in a basement.,television,basement,vintage,Two
Three vintage televisions in a dimly lit basement.,television,basement,vintage,Three
"

A vintage television set in a dimly lit basement.",television,basement,vintage,Multiple
"

A television in a basement with Scandinavian decor. Wooden shelves, white walls, and natural textures surround it.",television,basement,scandinavian,Single
Two televisions in a Scandinavian-style basement.,television,basement,scandinavian,Two
Three televisions in a Scandinavian-style basement.,television,basement,scandinavian,Three
"

A Scandinavian-style basement with a wooden television cabinet and a large television mounted on the wall.",television,basement,scandinavian,Multiple
"

Television in a cluttered basement corner. Wires tangled, dusty shelves surrounding it. Old posters and magazines piled high nearby. Worn-out couch in front, blankets and pillows scattered carelessly.",television,basement,messy,Single
Two televisions in a cluttered basement.,television,basement,messy,Two
Three televisions in a cluttered basement.,television,basement,messy,Three
"

A cluttered basement with wires and cables tangled around a large, old television.",television,basement,messy,Multiple
"

A clean-styled basement with a single television mounted on the wall.",television,basement,clean,Single
Two televisions in a clean basement.,television,basement,clean,Two
Three televisions in a clean basement.,television,basement,clean,Three
"

A television set in a clutter-free basement with industrial decor.",television,basement,clean,Multiple
"

A television set nestled in a cozy basement nook, surrounded by plush cushions and warm blankets.",television,basement,cozy,Single
Two televisions in a cozy basement.,television,basement,cozy,Two
Three televisions in a cozy basement.,television,basement,cozy,Three
"

A basement nook with a plush rug, a wooden television cabinet, and a cozy armchair. The television screen is warmly lit, casting a gentle glow on the surrounding space.",television,basement,cozy,Multiple
"

A television in a contemporary garden setting.",television,garden,modern,Single
Two televisions in a garden with a modern style.,television,garden,modern,Two
Three television sets in a garden with a modern design.,television,garden,modern,Three
"

A television set in a contemporary garden design, integrated seamlessly with greenery and stones.",television,garden,modern,Multiple
Minimalist style garden with a single television.,television,garden,minimalist,Single
Two televisions in a minimalist garden setting.,television,garden,minimalist,Two
Three televisions in a minimalist garden setting.,television,garden,minimalist,Three
Minimalist style garden with a television mounted on a tree trunk.,television,garden,minimalist,Multiple
"

A rustic television in the garden, surrounded by potted plants and stones.",television,garden,rustic,Single
Two televisions in a garden with a rustic style.,television,garden,rustic,Two
Three television sets in a garden with a rustic style.,television,garden,rustic,Three
"

A rustic television area in the garden with greenery surrounding it. A wooden table with a television mounted on the wall behind it. The television is encased in a rough, natural wood frame. The seating consists of woven",television,garden,rustic,Multiple
"

A television set in an industrial-style garden setting.",television,garden,industrial,Single
Two industrial-style televisions in a garden setting.,television,garden,industrial,Two
Three industrial-style televisions in a garden setting.,television,garden,industrial,Three
"

Industrial-style garden setup with a large television mounted on a brick wall.",television,garden,industrial,Multiple
"

A television nestled in a lush, tropical garden setting, surrounded by opulent greenery and adorned with gold accents.",television,garden,luxury,Single
"

Two televisions in a lush garden setting, styled with luxury and elegance.",television,garden,luxury,Two
Three television sets in a lush garden with a luxury design.,television,garden,luxury,Three
"

A large, flat-screen television mounted on a weather-resistant wall in a lush, landscaped garden with plush seating and ambient lighting.",television,garden,luxury,Multiple
"

A vintage television set in a lush garden setting.",television,garden,vintage,Single
Two vintage televisions in a garden setting.,television,garden,vintage,Two
Three vintage televisions in a garden setting.,television,garden,vintage,Three
"

A vintage television set in a lush garden, surrounded by colorful flowers and greenery.",television,garden,vintage,Multiple
"

A television nestled in a Scandinavian-style garden setting, surrounded by natural elements such as stones, moss, and wooden accents.",television,garden,scandinavian,Single
"

Two televisions in a garden with a Scandinavian style.",television,garden,scandinavian,Two
Three television sets in a garden with a Scandinavian style.,television,garden,scandinavian,Three
"

A television set nestled among lush greenery in a Scandinavian-style garden.",television,garden,scandinavian,Multiple
"

Television among overgrown foliage in a garden setting.",television,garden,messy,Single
Two televisions in a garden with a messy style.,television,garden,messy,Two
Three television sets in a garden with a messy style.,television,garden,messy,Three
"

Television set among overgrown foliage in a garden scene.",television,garden,messy,Multiple
"

Television in a tidy garden setting.",television,garden,clean,Single
Two televisions in a garden with a clean style.,television,garden,clean,Two
Three television sets in a garden with a clean design.,television,garden,clean,Three
"

A clean-lined garden space with a large television mounted on a weather-resistant wall.",television,garden,clean,Multiple
"

A television nestled in a corner of a garden gazebo, surrounded by potted plants and fairy lights.",television,garden,cozy,Single
Two televisions in a garden with a cozy style.,television,garden,cozy,Two
Three television sets in a garden with a cozy style.,television,garden,cozy,Three
"

A television nestled among lush greenery in a garden, surrounded by comfortable cushions and warm blankets.",television,garden,cozy,Multiple
"

A modern-style patio with a sleek television mounted on the wall.",television,patio,modern,Single
Two televisions in a contemporary patio setting.,television,patio,modern,Two
Three television sets in a contemporary patio.,television,patio,modern,Three
"

Patio with a modern design, featuring a television mounted on a sleek, weather-resistant wall.",television,patio,modern,Multiple
Minimalist patio with a single television on the wall.,television,patio,minimalist,Single
Two televisions on a minimalist patio.,television,patio,minimalist,Two
Three television screens on a minimalist patio setup.,television,patio,minimalist,Three
"

Minimalist patio with a television mounted on a white brick wall.",television,patio,minimalist,Multiple
"

Patio with a rustic theme, featuring a single television.",television,patio,rustic,Single
Two televisions on a patio with a rustic style.,television,patio,rustic,Two
Three television sets in a patio with a rustic style.,television,patio,rustic,Three
"

Patio with a rustic style, television mounted on a weathered wood wall.",television,patio,rustic,Multiple
"

Patio with industrial style: Television mounted on brick wall.",television,patio,industrial,Single
Two industrial-style televisions on a patio.,television,patio,industrial,Two
Three industrial-style televisions on a patio.,television,patio,industrial,Three
"

Patio with industrial style: Television mounted on brick wall.",television,patio,industrial,Multiple
"

A sleek, large-screen television nestled in a stone-clad, weatherproof enclosure on the patio, surrounded by plush, sun-soaked seating and lush greenery.",television,patio,luxury,Single
Two luxury style televisions on a patio.,television,patio,luxury,Two
Three television sets in a luxurious patio setting.,television,patio,luxury,Three
"

Patio with a large, luxurious television mounted on a stone wall, surrounded by plush seating and lush greenery.",television,patio,luxury,Multiple
"

Patio with a vintage television.",television,patio,vintage,Single
Two vintage televisions on a patio.,television,patio,vintage,Two
Three vintage televisions on a patio.,television,patio,vintage,Three
"

Patio with a vintage television.",television,patio,vintage,Multiple
"

Patio with a single television in a Scandinavian style.",television,patio,scandinavian,Single
Two televisions in a patio with a scandinavian style.,television,patio,scandinavian,Two
Three television sets in a patio with a Scandinavian style.,television,patio,scandinavian,Three
"

Patio with a Scandinavian style and a television mounted on a whitewashed brick wall.",television,patio,scandinavian,Multiple
"

Television on a cluttered patio with potted plants and outdoor furniture.",television,patio,messy,Single
Two televisions in a messy patio setting.,television,patio,messy,Two
Three television sets on a messy patio.,television,patio,messy,Three
"

Patio with a messy style, television mounted on a weathered brick wall.",television,patio,messy,Multiple
"

Patio with a clean design, featuring a single television.",television,patio,clean,Single
Two televisions in a clean patio setting.,television,patio,clean,Two
Three television sets on a clean patio.,television,patio,clean,Three
"

Patio with a clean design, featuring a television mounted on a white brick wall.",television,patio,clean,Multiple
"

Patio with a cozy fireplace and a single television mounted on a weathered brick wall.",television,patio,cozy,Single
Two televisions in a patio with a cozy style.,television,patio,cozy,Two
Three television sets in a patio with a cozy style.,television,patio,cozy,Three
"

Patio with a cozy style, a television mounted on a brick wall.",television,patio,cozy,Multiple
A modern living room with a single refrigerator.,refrigerator,living room,modern,Single
Two refrigerators in a living room with a modern style.,refrigerator,living room,modern,Two
Three refrigerators in a modern living room.,refrigerator,living room,modern,Three
A living room with a modern style and a refrigerator.,refrigerator,living room,modern,Multiple
"

Minimalist living room design with a single refrigerator integrated into the decor.",refrigerator,living room,minimalist,Single
Two refrigerators in a living room with a minimalist style.,refrigerator,living room,minimalist,Two
Three refrigerators in a living room with a minimalist style.,refrigerator,living room,minimalist,Three
"

Minimalist living room with a single refrigerator integrated into the design.",refrigerator,living room,minimalist,Multiple
A rustic living room with a large refrigerator.,refrigerator,living room,rustic,Single
Two rustic refrigerators in the living room.,refrigerator,living room,rustic,Two
Three refrigerators in a rustic living room.,refrigerator,living room,rustic,Three
"

A living room with a rustic style, featuring a large refrigerator.",refrigerator,living room,rustic,Multiple
"

A living room featuring an industrial-style refrigerator.",refrigerator,living room,industrial,Single
Two industrial-style refrigerators in the living room.,refrigerator,living room,industrial,Two
Three industrial-style refrigerators in the living room.,refrigerator,living room,industrial,Three
"

A living room with an industrial style, featuring a large refrigerator as a design element.",refrigerator,living room,industrial,Multiple
"A sleek, stainless steel refrigerator with a built-in ice maker and water dispenser, located in a spacious and stylish living room.",refrigerator,living room,luxury,Single
A living room with two luxury refrigerators.,refrigerator,living room,luxury,Two
Three luxury refrigerators in the living room.,refrigerator,living room,luxury,Three
"

A living room adorned with opulence, featuring a large, elegant refrigerator.",refrigerator,living room,luxury,Multiple
"

A living room with a vintage aesthetic, featuring a refrigerator from an era past.",refrigerator,living room,vintage,Single
A vintage refrigerator in the living room.,refrigerator,living room,vintage,Two
Three vintage refrigerators in the living room.,refrigerator,living room,vintage,Three
"

A living room with a vintage aesthetic, featuring a refrigerator from the 1950s or 1960s.",refrigerator,living room,vintage,Multiple
"

A single refrigerator in a living room with a Scandinavian style.",refrigerator,living room,scandinavian,Single
Two refrigerators in a living room with a scandinavian style.,refrigerator,living room,scandinavian,Two
Three refrigerators in a living room with a scandinavian style.,refrigerator,living room,scandinavian,Three
"

A living room featuring a Scandinavian design with a refrigerator integrated into the decor.",refrigerator,living room,scandinavian,Multiple
"A living room with a large, messy style refrigerator.",refrigerator,living room,messy,Single
A living room with two refrigerators in a messy style.,refrigerator,living room,messy,Two
Three refrigerators in a living room with a messy style.,refrigerator,living room,messy,Three
"

A living room with a messy style, a refrigerator in the middle.",refrigerator,living room,messy,Multiple
A single refrigerator in a clean-styled living room.,refrigerator,living room,clean,Single
Two refrigerators in a living room with a clean style.,refrigerator,living room,clean,Two
Three refrigerators in a clean living room.,refrigerator,living room,clean,Three
"A living room with a clean style, featuring a refrigerator.",refrigerator,living room,clean,Multiple
A single refrigerator in a cozy living room with a rustic style.,refrigerator,living room,cozy,Single
A living room with a cozy style featuring two refrigerators.,refrigerator,living room,cozy,Two
Three refrigerators in a cozy living room.,refrigerator,living room,cozy,Three
A living room with a cozy style and a refrigerator integrated into the design.,refrigerator,living room,cozy,Multiple
A modern style bedroom with a single refrigerator.,refrigerator,bedroom,modern,Single
Two modern-style refrigerators in the bedroom.,refrigerator,bedroom,modern,Two
Three refrigerators in a bedroom with a modern style.,refrigerator,bedroom,modern,Three
A modern style bedroom with a refrigerator.,refrigerator,bedroom,modern,Multiple
"

Minimalist style bedroom with a single refrigerator.",refrigerator,bedroom,minimalist,Single
Two minimalist style refrigerators in the bedroom.,refrigerator,bedroom,minimalist,Two
Three refrigerators in a minimalist bedroom.,refrigerator,bedroom,minimalist,Three
"

Minimalist style bedroom with a full-sized refrigerator.",refrigerator,bedroom,minimalist,Multiple
A rustic style bedroom with a refrigerator.,refrigerator,bedroom,rustic,Single
Two rustic style refrigerators in the bedroom.,refrigerator,bedroom,rustic,Two
Three refrigerators in a rustic bedroom.,refrigerator,bedroom,rustic,Three
"

A rustic bedroom with a large, wooden refrigerator.",refrigerator,bedroom,rustic,Multiple
Industrial style bedroom with a single refrigerator.,refrigerator,bedroom,industrial,Single
Two industrial-style refrigerators in the bedroom.,refrigerator,bedroom,industrial,Two
Three industrial-style refrigerators in the bedroom.,refrigerator,bedroom,industrial,Three
"

A bedroom with an industrial theme, featuring a large refrigerator.",refrigerator,bedroom,industrial,Multiple
"A luxury bedroom with a large, ornate refrigerator.",refrigerator,bedroom,luxury,Single
A luxury bedroom with two refrigerators.,refrigerator,bedroom,luxury,Two
Three luxury refrigerators in the bedroom.,refrigerator,bedroom,luxury,Three
"A large, designer refrigerator in a luxurious bedroom.",refrigerator,bedroom,luxury,Multiple
"

A vintage-style refrigerator in the bedroom.",refrigerator,bedroom,vintage,Single
A vintage refrigerator in the bedroom.,refrigerator,bedroom,vintage,Two
Three vintage refrigerators in the bedroom.,refrigerator,bedroom,vintage,Three
"

A vintage refrigerator in the bedroom.",refrigerator,bedroom,vintage,Multiple
A Scandinavian-style bedroom with a single refrigerator.,refrigerator,bedroom,scandinavian,Single
Two refrigerators in a bedroom with a scandinavian style.,refrigerator,bedroom,scandinavian,Two
Three refrigerators in a bedroom with a scandinavian style.,refrigerator,bedroom,scandinavian,Three
A Scandinavian-style bedroom with a refrigerator.,refrigerator,bedroom,scandinavian,Multiple
"A bedroom adorned with mismatched decor, housing a refrigerator with a chaotic, cluttered appearance.",refrigerator,bedroom,messy,Single
A bedroom with two refrigerators in a messy style.,refrigerator,bedroom,messy,Two
Three refrigerators in a bedroom with a messy style.,refrigerator,bedroom,messy,Three
"

A bedroom cluttered with mismatched boxes and piles of clothes. In the corner, a large, old refrigerator, its door slightly ajar, revealing a mess of food and containers.",refrigerator,bedroom,messy,Multiple
A clean-lined bedroom refrigerator.,refrigerator,bedroom,clean,Single
A bedroom with two refrigerators in a clean style.,refrigerator,bedroom,clean,Two
Three refrigerators in a clean bedroom.,refrigerator,bedroom,clean,Three
A clean-styled bedroom with a refrigerator.,refrigerator,bedroom,clean,Multiple
A single refrigerator in a cozy bedroom.,refrigerator,bedroom,cozy,Single
A refrigerator in the bedroom with a cozy style.,refrigerator,bedroom,cozy,Two
Three refrigerators in a cozy bedroom.,refrigerator,bedroom,cozy,Three
A cozy bedroom with a vintage refrigerator.,refrigerator,bedroom,cozy,Multiple
"

A single refrigerator with a contemporary design for the kitchen.",refrigerator,kitchen,modern,Single
Two refrigerators in a modern kitchen.,refrigerator,kitchen,modern,Two
Three refrigerators in a modern kitchen.,refrigerator,kitchen,modern,Three
A modern style kitchen with a stainless steel refrigerator.,refrigerator,kitchen,modern,Multiple
"

Minimalist kitchen design with a single refrigerator.",refrigerator,kitchen,minimalist,Single
Two refrigerators in a minimalist kitchen.,refrigerator,kitchen,minimalist,Two
Three refrigerators in a minimalist kitchen.,refrigerator,kitchen,minimalist,Three
"

Minimalist kitchen with a single refrigerator.",refrigerator,kitchen,minimalist,Multiple
A rustic kitchen with a large refrigerator.,refrigerator,kitchen,rustic,Single
Two refrigerators in the kitchen with a rustic style.,refrigerator,kitchen,rustic,Two
Three refrigerators in a kitchen with a rustic style.,refrigerator,kitchen,rustic,Three
"

A rustic kitchen with a large, old-fashioned refrigerator.",refrigerator,kitchen,rustic,Multiple
"

A single industrial-style refrigerator in the kitchen.",refrigerator,kitchen,industrial,Single
Two industrial-style refrigerators in the kitchen.,refrigerator,kitchen,industrial,Two
Three industrial-style refrigerators in the kitchen.,refrigerator,kitchen,industrial,Three
"

A refrigerator with industrial design elements, stainless steel exterior, and large capacity.",refrigerator,kitchen,industrial,Multiple
"

A sleek, stainless steel refrigerator with a built-in ice maker and water dispenser, featuring a large touch screen display and energy-efficient technology, in a high-end kitchen design.",refrigerator,kitchen,luxury,Single
Two luxury refrigerators in the kitchen.,refrigerator,kitchen,luxury,Two
Three luxury refrigerators in the kitchen.,refrigerator,kitchen,luxury,Three
"

A sleek, stainless steel refrigerator with a built-in ice and water dispenser and a French door design, surrounded by marble countertops and custom-made cabinetry in a high-end kitchen.",refrigerator,kitchen,luxury,Multiple
"

A vintage-style refrigerator in the kitchen.",refrigerator,kitchen,vintage,Single
Two vintage refrigerators in the kitchen.,refrigerator,kitchen,vintage,Two
Three vintage refrigerators in the kitchen.,refrigerator,kitchen,vintage,Three
"

A vintage refrigerator in the kitchen.",refrigerator,kitchen,vintage,Multiple
"

A single refrigerator in a Scandinavian-style kitchen, featuring clean lines, minimalist design, and natural materials such as wood or marble.",refrigerator,kitchen,scandinavian,Single
Two refrigerators in a kitchen with a scandinavian style.,refrigerator,kitchen,scandinavian,Two
Three refrigerators in a Scandinavian kitchen.,refrigerator,kitchen,scandinavian,Three
"

A Scandinavian-style kitchen featuring a refrigerator with sleek, minimalist design and wooden accents.",refrigerator,kitchen,scandinavian,Multiple
"

A refrigerator with disheveled shelves and smudged exterior in a kitchen cluttered with food containers and papers.",refrigerator,kitchen,messy,Single
Two refrigerators in the kitchen with a messy style.,refrigerator,kitchen,messy,Two
Three refrigerators in a kitchen with a messy style.,refrigerator,kitchen,messy,Three
"

A kitchen with a messy style, cluttered countertops, and an old refrigerator with peeling paint and rust spots.",refrigerator,kitchen,messy,Multiple
"

A single refrigerator in a pristine kitchen.",refrigerator,kitchen,clean,Single
Two refrigerators in a clean kitchen.,refrigerator,kitchen,clean,Two
Three refrigerators in a clean kitchen.,refrigerator,kitchen,clean,Three
"

A clean-lined kitchen with a stainless steel refrigerator.",refrigerator,kitchen,clean,Multiple
A refrigerator with a vintage wooden door in the kitchen.,refrigerator,kitchen,cozy,Single
Two refrigerators in a kitchen with a cozy style.,refrigerator,kitchen,cozy,Two
Three refrigerators in a cozy kitchen.,refrigerator,kitchen,cozy,Three
"

A refrigerator with a vintage wooden exterior in a warm, inviting kitchen.",refrigerator,kitchen,cozy,Multiple
A modern style bathroom with a single refrigerator.,refrigerator,bathroom,modern,Single
Two refrigerators in a modern bathroom.,refrigerator,bathroom,modern,Two
Three refrigerators in a contemporary bathroom design.,refrigerator,bathroom,modern,Three
A modern style bathroom with a refrigerator.,refrigerator,bathroom,modern,Multiple
"

Minimalist bathroom with a single refrigerator.",refrigerator,bathroom,minimalist,Single
Two refrigerators in a minimalist bathroom.,refrigerator,bathroom,minimalist,Two
Three refrigerators in a minimalist bathroom.,refrigerator,bathroom,minimalist,Three
"

Minimalist bathroom with a single refrigerator.",refrigerator,bathroom,minimalist,Multiple
A rustic bathroom with a vintage refrigerator.,refrigerator,bathroom,rustic,Single
Two rustic style refrigerators in the bathroom.,refrigerator,bathroom,rustic,Two
Three refrigerators in a rustic bathroom.,refrigerator,bathroom,rustic,Three
"

A rustic bathroom with a vintage refrigerator as a storage unit for towels and toiletries.",refrigerator,bathroom,rustic,Multiple
"

A bathroom outfitted with an industrial-style refrigerator.",refrigerator,bathroom,industrial,Single
Two industrial-style refrigerators in the bathroom.,refrigerator,bathroom,industrial,Two
Three industrial-style refrigerators in the bathroom.,refrigerator,bathroom,industrial,Three
"

A bathroom with an industrial theme, featuring a large refrigerator.",refrigerator,bathroom,industrial,Multiple
"A bathroom with a large, marble-clad luxury refrigerator.",refrigerator,bathroom,luxury,Single
A bathroom with two luxury refrigerators.,refrigerator,bathroom,luxury,Two
Three luxury refrigerators in a bathroom.,refrigerator,bathroom,luxury,Three
"A bathroom with a large, marble-clad luxury refrigerator.",refrigerator,bathroom,luxury,Multiple
"

A vintage-style refrigerator in the bathroom.",refrigerator,bathroom,vintage,Single
Two vintage refrigerators in the bathroom.,refrigerator,bathroom,vintage,Two
Three vintage refrigerators in the bathroom.,refrigerator,bathroom,vintage,Three
"

A vintage refrigerator in the bathroom.",refrigerator,bathroom,vintage,Multiple
"

A single refrigerator in a bathroom with a Scandinavian design.",refrigerator,bathroom,scandinavian,Single
Two refrigerators in a Scandinavian-style bathroom.,refrigerator,bathroom,scandinavian,Two
Three refrigerators in a Scandinavian-style bathroom.,refrigerator,bathroom,scandinavian,Three
"

A bathroom with a Scandinavian style, featuring a refrigerator.",refrigerator,bathroom,scandinavian,Multiple
"A bathroom with a cluttered, bohemian style. A single refrigerator.",refrigerator,bathroom,messy,Single
Two refrigerators in a messy bathroom.,refrigerator,bathroom,messy,Two
Three refrigerators in a messy bathroom.,refrigerator,bathroom,messy,Three
"

A bathroom cluttered with towels, toiletries, and various other items, featuring a refrigerator with peeling paint and water stains.",refrigerator,bathroom,messy,Multiple
"A single, clean-styled refrigerator in a bathroom.",refrigerator,bathroom,clean,Single
Two refrigerators in a clean bathroom design.,refrigerator,bathroom,clean,Two
Three refrigerators in a clean bathroom design.,refrigerator,bathroom,clean,Three
"A bathroom with a clean, minimalist design, featuring a refrigerator.",refrigerator,bathroom,clean,Multiple
A single refrigerator in a cozy bathroom with a vintage feel.,refrigerator,bathroom,cozy,Single
