prompt,class,environment,weather,amount
Three rhinos in a dusty trail under windy conditions.,rhino,dusty trail,windy,Three
"

A rhino in the dusty trail under a windy sky. Multiple of them.",rhino,dusty trail,windy,Multiple
"

A single rhino in the dusty trail under clear skies.",rhino,dusty trail,clear,Single
Two rhinos in a dusty trail under clear skies.,rhino,dusty trail,clear,Two
Three rhinos in a dusty trail under clear skies.,rhino,dusty trail,clear,Three
"

A rhino in the dusty trail under clear skies. Multiple of them.",rhino,dusty trail,clear,Multiple
A single rhino in the dusty trail during the dry season.,rhino,dusty trail,dry season,Single
Two rhinos in a dusty trail during the dry season.,rhino,dusty trail,dry season,Two
Three rhinos in a dusty trail during the dry season.,rhino,dusty trail,dry season,Three
"

A rhino in the dusty trail during the dry season.",rhino,dusty trail,dry season,Multiple
"

A single rhino in the dusty trail during the wet season.",rhino,dusty trail,wet season,Single
Two rhinos in a dusty trail during the wet season.,rhino,dusty trail,wet season,Two
Three rhinos in a dusty trail during the wet season.,rhino,dusty trail,wet season,Three
"

A rhino in the dusty trail during the wet season.",rhino,dusty trail,wet season,Multiple
A single zebra in the savannah under the sunny sky.,zebra,savannah,sunny,Single
Two zebras in the savannah under a sunny sky.,zebra,savannah,sunny,Two
Three zebras in the sunny savannah.,zebra,savannah,sunny,Three
A group of zebras in the sunny savannah.,zebra,savannah,sunny,Multiple
A lone zebra in the savannah under cloudy skies.,zebra,savannah,cloudy,Single
Two zebras in the savannah under cloudy weather.,zebra,savannah,cloudy,Two
Three zebras in the savannah under cloudy skies.,zebra,savannah,cloudy,Three
"

A cloudy savannah populated by numerous zebras.",zebra,savannah,cloudy,Multiple
A lone zebra in the savannah during a rain shower.,zebra,savannah,rainy,Single
Two zebras in the savannah during rainy weather.,zebra,savannah,rainy,Two
Three zebras in the savannah during rainfall.,zebra,savannah,rainy,Three
A herd of zebras in a rain-soaked savannah.,zebra,savannah,rainy,Multiple
A lone zebra in the savannah during a storm.,zebra,savannah,stormy,Single
Two zebras in the savannah amidst a storm.,zebra,savannah,stormy,Two
Three zebras in the savannah amidst a stormy weather.,zebra,savannah,stormy,Three
A herd of zebras in a stormy savannah.,zebra,savannah,stormy,Multiple
"

A lone zebra in the savannah amidst foggy conditions.",zebra,savannah,foggy,Single
Two zebras in the savannah shrouded in fog.,zebra,savannah,foggy,Two
Three zebras in the savannah shrouded in fog.,zebra,savannah,foggy,Three
"

A foggy savannah filled with the striped forms of multiple zebras.",zebra,savannah,foggy,Multiple
A lone zebra in the savannah under a windy sky.,zebra,savannah,windy,Single
Two zebras in the savannah under a windy sky.,zebra,savannah,windy,Two
Three zebras in the savannah under a windy sky.,zebra,savannah,windy,Three
A herd of zebras in the savannah under a windy sky.,zebra,savannah,windy,Multiple
A lone zebra in the vast savannah under clear skies.,zebra,savannah,clear,Single
Two zebras in the savannah under clear skies.,zebra,savannah,clear,Two
Three zebras in the savannah under clear skies.,zebra,savannah,clear,Three
"

Clear savannah dotted with zebras.",zebra,savannah,clear,Multiple
A lone zebra in the savannah during the dry season.,zebra,savannah,dry season,Single
Two zebras in the savannah during the dry season.,zebra,savannah,dry season,Two
Three zebras in the savannah during the dry season.,zebra,savannah,dry season,Three
A herd of zebras in a savannah during the dry season.,zebra,savannah,dry season,Multiple
A lone zebra in the savannah during the wet season.,zebra,savannah,wet season,Single
Two zebras in the savannah during the wet season.,zebra,savannah,wet season,Two
Three zebras in the savannah during the wet season.,zebra,savannah,wet season,Three
A herd of zebras in a wet savannah.,zebra,savannah,wet season,Multiple
A single zebra in the sun-kissed grassland.,zebra,grassland,sunny,Single
Two zebras in the sunny grassland.,zebra,grassland,sunny,Two
Three zebras grazing in the sunlit grassland.,zebra,grassland,sunny,Three
A herd of zebras in the golden grassland under the sunny sky.,zebra,grassland,sunny,Multiple
"

A lone zebra in the grassland under overcast skies.",zebra,grassland,cloudy,Single
Two zebras in the grassland under cloudy weather.,zebra,grassland,cloudy,Two
Three zebras in the grassland under cloudy weather.,zebra,grassland,cloudy,Three
"

A zebra herd in a cloudy grassland",zebra,grassland,cloudy,Multiple
A lone zebra in the grassland amidst the rain.,zebra,grassland,rainy,Single
Two zebras in the grassland during rain.,zebra,grassland,rainy,Two
Three zebras in the grassland during rain.,zebra,grassland,rainy,Three
"

A rainy grassland teems with multiple zebras.",zebra,grassland,rainy,Multiple
A lone zebra in the grassland amidst a stormy weather.,zebra,grassland,stormy,Single
Two zebras in the grassland amidst a stormy weather.,zebra,grassland,stormy,Two
Three zebras in the grassland amidst a stormy weather.,zebra,grassland,stormy,Three
"

A herd of zebras in the grassland during a stormy weather.",zebra,grassland,stormy,Multiple
"

A lone zebra in the grassland as the fog rolls in.",zebra,grassland,foggy,Single
Two zebras in the foggy grassland.,zebra,grassland,foggy,Two
Three zebras in the foggy grassland.,zebra,grassland,foggy,Three
"

A zebra herd in a foggy grassland.",zebra,grassland,foggy,Multiple
A lone zebra in the vast grassland under a windy sky.,zebra,grassland,windy,Single
Two zebras in the grassland under a windy sky.,zebra,grassland,windy,Two
Three zebras in the grassland under a windy sky.,zebra,grassland,windy,Three
A herd of zebras in the grassland under a windy sky.,zebra,grassland,windy,Multiple
"

A single zebra in the vast grassland under clear skies.",zebra,grassland,clear,Single
Two zebras in the grassland under clear skies.,zebra,grassland,clear,Two
Three zebras in the lush grassland under a clear sky.,zebra,grassland,clear,Three
"

Clear grassland dotted with zebras.",zebra,grassland,clear,Multiple
A lone zebra in the golden grasslands of the dry season.,zebra,grassland,dry season,Single
Two zebras in the grassland during the dry season.,zebra,grassland,dry season,Two
Three zebras in the golden grassland of the dry season.,zebra,grassland,dry season,Three
A herd of zebras in the dry grassland.,zebra,grassland,dry season,Multiple
A lone zebra in the wet grassland.,zebra,grassland,wet season,Single
Two zebras in the grassland during the wet season.,zebra,grassland,wet season,Two
Three zebras in the lush grassland during the wet season.,zebra,grassland,wet season,Three
"

A herd of zebras in the grassland during the wet season.",zebra,grassland,wet season,Multiple
"

A single zebra at a sunny watering hole.",zebra,watering hole,sunny,Single
Two zebras at a watering hole under sunny weather.,zebra,watering hole,sunny,Two
Three zebras at a watering hole under sunny weather.,zebra,watering hole,sunny,Three
"

A sunny watering hole teeming with multiple zebras.",zebra,watering hole,sunny,Multiple
"

A single zebra at a watering hole under cloudy weather.",zebra,watering hole,cloudy,Single
Two zebras at a watering hole under cloudy weather.,zebra,watering hole,cloudy,Two
Three zebras at a watering hole under cloudy weather.,zebra,watering hole,cloudy,Three
"

A zebra herd gathers at a cloudy watering hole.",zebra,watering hole,cloudy,Multiple
"

A single zebra at a rain-soaked watering hole.",zebra,watering hole,rainy,Single
Two zebras at a watering hole in the rain.,zebra,watering hole,rainy,Two
Three zebras at a rain-soaked watering hole.,zebra,watering hole,rainy,Three
"

A rainy watering hole teeming with multiple zebras.",zebra,watering hole,rainy,Multiple
"

A single zebra at a stormy watering hole",zebra,watering hole,stormy,Single
Two zebras at a watering hole during a storm.,zebra,watering hole,stormy,Two
Three zebras at a watering hole amidst stormy weather.,zebra,watering hole,stormy,Three
"

A zebra herd huddled together at a stormy watering hole.",zebra,watering hole,stormy,Multiple
"

A single zebra at a foggy watering hole.",zebra,watering hole,foggy,Single
Two zebras at a watering hole in foggy conditions.,zebra,watering hole,foggy,Two
Three zebras at a watering hole in foggy conditions.,zebra,watering hole,foggy,Three
"

A zebra herd gathers at a foggy watering hole.",zebra,watering hole,foggy,Multiple
"

A single zebra at a windy watering hole.",zebra,watering hole,windy,Single
Two zebras at a watering hole in windy weather.,zebra,watering hole,windy,Two
Three zebras at a watering hole in a windy weather.,zebra,watering hole,windy,Three
Windy watering hole teeming with multiple zebras.,zebra,watering hole,windy,Multiple
"

A single zebra at a watering hole under clear skies.",zebra,watering hole,clear,Single
Two zebras at a watering hole under clear skies.,zebra,watering hole,clear,Two
Three zebras at a watering hole under clear skies.,zebra,watering hole,clear,Three
"

Clear watering hole filled with multiple zebras.",zebra,watering hole,clear,Multiple
"

A single zebra at a watering hole during the dry season.",zebra,watering hole,dry season,Single
Two zebras at a watering hole during the dry season.,zebra,watering hole,dry season,Two
Three zebras at a watering hole during the dry season.,zebra,watering hole,dry season,Three
"

A zebra herd gathers at a watering hole during the dry season.",zebra,watering hole,dry season,Multiple
"

A single zebra at a watering hole during the wet season.",zebra,watering hole,wet season,Single
Two zebras at a watering hole during the wet season.,zebra,watering hole,wet season,Two
Three zebras at a watering hole during the wet season.,zebra,watering hole,wet season,Three
"

A zebra herd gathers at a watering hole during the wet season.",zebra,watering hole,wet season,Multiple
"

A single zebra at the riverbank under the sunny weather.",zebra,riverbank,sunny,Single
Two zebras at the riverbank under the sunny weather.,zebra,riverbank,sunny,Two
Three zebras at the riverbank under the sunny weather.,zebra,riverbank,sunny,Three
"

A sunny riverbank populated by a multitude of zebras.",zebra,riverbank,sunny,Multiple
"

A single zebra at the riverbank under cloudy weather.",zebra,riverbank,cloudy,Single
Two zebras at the riverbank under cloudy weather.,zebra,riverbank,cloudy,Two
Three zebras at the riverbank under cloudy weather.,zebra,riverbank,cloudy,Three
"

A cloudy riverbank populated by numerous zebras.",zebra,riverbank,cloudy,Multiple
"

A single zebra at the riverbank in the rain.",zebra,riverbank,rainy,Single
Two zebras at the riverbank in the rain.,zebra,riverbank,rainy,Two
Three zebras at the riverbank in the rain.,zebra,riverbank,rainy,Three
"

A zebra herd huddled together on the riverbank as rain poured down, the stripes on their coats blending with the gray sky.",zebra,riverbank,rainy,Multiple
"

A lone zebra on the riverbank amidst stormy weather.",zebra,riverbank,stormy,Single
Two zebras at the riverbank in a stormy weather.,zebra,riverbank,stormy,Two
Three zebras on a riverbank during a storm.,zebra,riverbank,stormy,Three
"

A zebra herd huddled together on the riverbank as the storm raged on, rain pelting down and winds whipping up the water.",zebra,riverbank,stormy,Multiple
"

A lone zebra at the riverbank in the foggy weather.",zebra,riverbank,foggy,Single
Two zebras at the riverbank in foggy weather.,zebra,riverbank,foggy,Two
Three zebras at the riverbank in foggy weather.,zebra,riverbank,foggy,Three
"

A foggy riverbank populated by a multitude of zebras.",zebra,riverbank,foggy,Multiple
"

A single zebra at the riverbank under windy conditions.",zebra,riverbank,windy,Single
Two zebras at the riverbank under windy weather.,zebra,riverbank,windy,Two
Three zebras at the riverbank in a windy weather.,zebra,riverbank,windy,Three
"

Multiple zebras at the riverbank under windy conditions.",zebra,riverbank,windy,Multiple
"

A single zebra at the riverbank under clear weather.",zebra,riverbank,clear,Single
Two zebras at the riverbank under clear weather.,zebra,riverbank,clear,Two
Three zebras at the riverbank under clear weather.,zebra,riverbank,clear,Three
"

Clear riverbank, multiple zebras.",zebra,riverbank,clear,Multiple
"

A single zebra at the riverbank during the dry season.",zebra,riverbank,dry season,Single
Two zebras at the riverbank during the dry season.,zebra,riverbank,dry season,Two
Three zebras at the riverbank during the dry season.,zebra,riverbank,dry season,Three
"

Multiple zebras at a riverbank during the dry season.",zebra,riverbank,dry season,Multiple
"

A single zebra at the riverbank during the wet season.",zebra,riverbank,wet season,Single
Two zebras at riverbank during wet season.,zebra,riverbank,wet season,Two
Three zebras at the riverbank during the wet season.,zebra,riverbank,wet season,Three
"

Multiple zebras at a riverbank during the wet season.",zebra,riverbank,wet season,Multiple
"

A single zebra in the forest under the sunny sky.",zebra,forest,sunny,Single
Two zebras in a forest under a sunny sky.,zebra,forest,sunny,Two
Three zebras in a sunlit forest.,zebra,forest,sunny,Three
"

A sunny day in the forest, a group of zebras grazing on the lush grass.",zebra,forest,sunny,Multiple
"

A lone zebra in the forest amidst cloudy weather.",zebra,forest,cloudy,Single
Two zebras in a forest under cloudy weather.,zebra,forest,cloudy,Two
Three zebras in a forest with cloudy weather.,zebra,forest,cloudy,Three
"

A cloudy forest filled with multiple zebras.",zebra,forest,cloudy,Multiple
A lone zebra in the forest during a rain shower.,zebra,forest,rainy,Single
Two zebras in a forest during rainy weather.,zebra,forest,rainy,Two
Three zebras in a forest during rainy weather.,zebra,forest,rainy,Three
"

A rainy forest teeming with multiple zebras.",zebra,forest,rainy,Multiple
"

A lone zebra in the forest during a stormy weather.",zebra,forest,stormy,Single
Two zebras in a forest during a storm.,zebra,forest,stormy,Two
Three zebras in a forest during a storm.,zebra,forest,stormy,Three
"

A herd of zebras in a stormy forest, rain pounding on their striped coats. Trees swaying in the wind, thunder rumbling in the distance. Zebras huddled together for warmth and",zebra,forest,stormy,Multiple
"

A lone zebra in the forest, surrounded by the dense mist of fog.",zebra,forest,foggy,Single
"

Two zebras in a foggy forest.",zebra,forest,foggy,Two
Three zebras in a forest shrouded in fog.,zebra,forest,foggy,Three
"

A foggy forest teems with a large herd of zebras.",zebra,forest,foggy,Multiple
"

A lone zebra in the forest amidst windy conditions.",zebra,forest,windy,Single
Two zebras in a forest with windy weather.,zebra,forest,windy,Two
Three zebras in a forest with windy weather.,zebra,forest,windy,Three
"

A herd of zebras in a windy forest.",zebra,forest,windy,Multiple
"

A single zebra in a clear forest.",zebra,forest,clear,Single
Two zebras in a forest with clear weather.,zebra,forest,clear,Two
Three zebras in a forest with clear weather.,zebra,forest,clear,Three
"

Clear day in the forest, a group of zebras grazing.",zebra,forest,clear,Multiple
A lone zebra in a dry forest.,zebra,forest,dry season,Single
Two zebras in a forest during the dry season.,zebra,forest,dry season,Two
Three zebras in a forest during the dry season.,zebra,forest,dry season,Three
"

A herd of zebras in a forest during the dry season.",zebra,forest,dry season,Multiple
A lone zebra in the forest during the wet season.,zebra,forest,wet season,Single
Two zebras in a forest during the wet season.,zebra,forest,wet season,Two
Three zebras in a forest during the wet season.,zebra,forest,wet season,Three
"

A herd of zebras in a forest during the wet season.",zebra,forest,wet season,Multiple
"

A single zebra in a jungle clearing under the sunny sky.",zebra,jungle clearing,sunny,Single
Two zebras in a jungle clearing under sunny weather.,zebra,jungle clearing,sunny,Two
Three zebras in a jungle clearing under sunny weather.,zebra,jungle clearing,sunny,Three
"

A sunny jungle clearing filled with the striped forms of multiple zebras.",zebra,jungle clearing,sunny,Multiple
"

A lone zebra in a jungle clearing under cloudy skies.",zebra,jungle clearing,cloudy,Single
"

Two zebras in a jungle clearing with cloudy weather.",zebra,jungle clearing,cloudy,Two
Three zebras in a jungle clearing under cloudy weather.,zebra,jungle clearing,cloudy,Three
"

A zebra herd of ten in a cloudy jungle clearing.",zebra,jungle clearing,cloudy,Multiple
"

A lone zebra in a jungle clearing during a rain shower.",zebra,jungle clearing,rainy,Single
Two zebras in a jungle clearing during rainy weather.,zebra,jungle clearing,rainy,Two
Three zebras in a jungle clearing during rainfall.,zebra,jungle clearing,rainy,Three
"

A dozen zebras in a jungle clearing during a rain shower.",zebra,jungle clearing,rainy,Multiple
"

A lone zebra in a jungle clearing amidst stormy weather.",zebra,jungle clearing,stormy,Single
Two zebras in a jungle clearing during a storm.,zebra,jungle clearing,stormy,Two
Three zebras in a jungle clearing during a storm.,zebra,jungle clearing,stormy,Three
"

A dozen zebras in a jungle clearing amidst a stormy weather.",zebra,jungle clearing,stormy,Multiple
"

A lone zebra in a jungle clearing amidst foggy conditions.",zebra,jungle clearing,foggy,Single
"

Two zebras in a jungle clearing shrouded in fog.",zebra,jungle clearing,foggy,Two
Three zebras in a jungle clearing shrouded in fog.,zebra,jungle clearing,foggy,Three
"

A zebra herd of ten in a jungle clearing, shrouded in fog.",zebra,jungle clearing,foggy,Multiple
"

A lone zebra in a jungle clearing amidst windy weather.",zebra,jungle clearing,windy,Single
Two zebras in a jungle clearing amidst windy weather.,zebra,jungle clearing,windy,Two
Three zebras in a jungle clearing amidst windy weather.,zebra,jungle clearing,windy,Three
"

A zebra herd of ten roaming through a jungle clearing under windy conditions.",zebra,jungle clearing,windy,Multiple
"

A lone zebra in a jungle clearing under clear skies.",zebra,jungle clearing,clear,Single
"

Two zebras in a jungle clearing with clear weather.",zebra,jungle clearing,clear,Two
Three zebras in a jungle clearing under clear skies.,zebra,jungle clearing,clear,Three
"

Clear jungle clearing with ten zebras.",zebra,jungle clearing,clear,Multiple
"

A lone zebra in a jungle clearing during the dry season.",zebra,jungle clearing,dry season,Single
Two zebras in a jungle clearing during the dry season.,zebra,jungle clearing,dry season,Two
Three zebras in a jungle clearing during the dry season.,zebra,jungle clearing,dry season,Three
"

A group of ten zebras in a jungle clearing during the dry season.",zebra,jungle clearing,dry season,Multiple
"

A lone zebra in a jungle clearing during the wet season.",zebra,jungle clearing,wet season,Single
Two zebras in a jungle clearing during the wet season.,zebra,jungle clearing,wet season,Two
Three zebras in a jungle clearing during the wet season.,zebra,jungle clearing,wet season,Three
"

A herd of zebras in a jungle clearing during the wet season.",zebra,jungle clearing,wet season,Multiple
A lone zebra in the dry plains under the sunny sky.,zebra,dry plains,sunny,Single
Two zebras in the dry plains under a sunny sky.,zebra,dry plains,sunny,Two
Three zebras in the dry plains under a sunny sky.,zebra,dry plains,sunny,Three
"

A herd of zebras in the sun-kissed dry plains",zebra,dry plains,sunny,Multiple
"

A lone zebra in the dry plains under cloudy skies.",zebra,dry plains,cloudy,Single
Two zebras in the dry plains under cloudy weather.,zebra,dry plains,cloudy,Two
Three zebras in the dry plains under cloudy weather.,zebra,dry plains,cloudy,Three
"

A group of zebras in the dry plains under overcast skies.",zebra,dry plains,cloudy,Multiple
A lone zebra in the dry plains under a rainy sky.,zebra,dry plains,rainy,Single
Two zebras in the dry plains under rainy weather.,zebra,dry plains,rainy,Two
Three zebras in the dry plains under rainy weather.,zebra,dry plains,rainy,Three
"

A herd of zebras in the dry plains under a rainy sky.",zebra,dry plains,rainy,Multiple
A lone zebra in the dry plains amidst a storm.,zebra,dry plains,stormy,Single
Two zebras in the dry plains during a storm.,zebra,dry plains,stormy,Two
Three zebras in the dry plains amidst a stormy weather.,zebra,dry plains,stormy,Three
"

A herd of zebras in the dry plains as a storm approaches, dark clouds looming overhead.",zebra,dry plains,stormy,Multiple
"

A lone zebra in the dry plains, surrounded by golden grasses, as fog rolls in, obscuring the horizon.",zebra,dry plains,foggy,Single
Two zebras in the dry plains under foggy conditions.,zebra,dry plains,foggy,Two
Three zebras in the dry plains with foggy weather.,zebra,dry plains,foggy,Three
"

A zebra herd in the dry plains under foggy conditions.",zebra,dry plains,foggy,Multiple
A lone zebra in the dry plains under a windy sky.,zebra,dry plains,windy,Single
Two zebras in the dry plains under a windy sky.,zebra,dry plains,windy,Two
Three zebras in the dry plains under a windy sky.,zebra,dry plains,windy,Three
"

Multiple zebras in the dry plains under a windy sky.",zebra,dry plains,windy,Multiple
A lone zebra in the dry plains under a clear sky.,zebra,dry plains,clear,Single
Two zebras in the dry plains under clear skies.,zebra,dry plains,clear,Two
Three zebras in the dry plains under clear skies.,zebra,dry plains,clear,Three
"

A herd of zebras in the dry plains under a clear sky.",zebra,dry plains,clear,Multiple
A lone zebra in the arid plains under the scorching sun.,zebra,dry plains,dry season,Single
Two zebras in the dry plains during the dry season.,zebra,dry plains,dry season,Two
Three zebras in the arid plains under the scorching sun.,zebra,dry plains,dry season,Three
"

A herd of zebras in the arid plains under the scorching sun.",zebra,dry plains,dry season,Multiple
A lone zebra in the dry plains during the wet season.,zebra,dry plains,wet season,Single
Two zebras in the dry plains during a wet season.,zebra,dry plains,wet season,Two
Three zebras in the dry plains during a wet season.,zebra,dry plains,wet season,Three
"

A herd of zebras in the dry plains, surrounded by tall grasses, during a wet season rain.",zebra,dry plains,wet season,Multiple
"

A single zebra in the wetlands under a sunny sky.",zebra,wetlands,sunny,Single
Two zebras in a wetland under sunny weather.,zebra,wetlands,sunny,Two
Three zebras in a wetland under sunny weather.,zebra,wetlands,sunny,Three
"

A sunny wetland teeming with multiple zebras.",zebra,wetlands,sunny,Multiple
"

A lone zebra in the wetlands amidst overcast skies.",zebra,wetlands,cloudy,Single
Two zebras in a wetland under cloudy weather.,zebra,wetlands,cloudy,Two
Three zebras in a wetland under cloudy weather.,zebra,wetlands,cloudy,Three
"

A group of zebras wading through a wetland under cloudy skies.",zebra,wetlands,cloudy,Multiple
A lone zebra in the wetlands during a rainstorm.,zebra,wetlands,rainy,Single
Two zebras in a wetland during rainy weather.,zebra,wetlands,rainy,Two
Three zebras in a wetland during rainy weather.,zebra,wetlands,rainy,Three
"

A group of zebras huddled together in the wetlands, their stripes glistening in the rain.",zebra,wetlands,rainy,Multiple
A lone zebra in the wetlands during a storm.,zebra,wetlands,stormy,Single
Two zebras in a wetland during a storm.,zebra,wetlands,stormy,Two
Three zebras in a wetland amidst stormy weather.,zebra,wetlands,stormy,Three
"

A group of zebras huddled together in the wetlands, rain pelting their striped coats as thunder rumbled in the distance.",zebra,wetlands,stormy,Multiple
"

A lone zebra in the wetlands amidst foggy weather.",zebra,wetlands,foggy,Single
Two zebras in a wetland shrouded by fog.,zebra,wetlands,foggy,Two
Three zebras in a wetland shrouded by fog.,zebra,wetlands,foggy,Three
"

A zebra herd in a foggy wetlands, the mist obscuring their stripes.",zebra,wetlands,foggy,Multiple
"

A lone zebra in the wetlands amidst windy weather.",zebra,wetlands,windy,Single
Two zebras in a wetland under windy weather.,zebra,wetlands,windy,Two
Three zebras in a wetland amidst windy weather.,zebra,wetlands,windy,Three
"

A group of zebras huddled together in the wetlands, shielding themselves from the wind. The rain pelted down, turning the water into a churning, muddy mess. Despite the discomfort, the",zebra,wetlands,windy,Multiple
"

A single zebra in the wetlands under clear weather.",zebra,wetlands,clear,Single
Two zebras in a wetland under clear skies.,zebra,wetlands,clear,Two
Three zebras in a wetland with clear weather.,zebra,wetlands,clear,Three
"

Clear weather in the wetlands, home to a large population of zebras.",zebra,wetlands,clear,Multiple
A lone zebra in the wetlands during the dry season.,zebra,wetlands,dry season,Single
Two zebras in a wetland during the dry season.,zebra,wetlands,dry season,Two
Three zebras in a wetland during the dry season.,zebra,wetlands,dry season,Three
"

Multiple zebras in a wetland during the dry season.",zebra,wetlands,dry season,Multiple
A lone zebra in the marshy wetlands during the wet season.,zebra,wetlands,wet season,Single
Two zebras in a wetland during the wet season.,zebra,wetlands,wet season,Two
Three zebras in a wetland during the wet season.,zebra,wetlands,wet season,Three
"

Multiple zebras in a wetland during the wet season.",zebra,wetlands,wet season,Multiple
"

A single zebra in the bushland under the sunny sky.",zebra,bushland,sunny,Single
Two zebras in the bushland under a sunny sky.,zebra,bushland,sunny,Two
Three zebras in the bushland under a sunny sky.,zebra,bushland,sunny,Three
"

A sunny bushland teems with multiple zebras.",zebra,bushland,sunny,Multiple
"

A lone zebra in the bushland under overcast skies.",zebra,bushland,cloudy,Single
Two zebras in the bushland under cloudy weather.,zebra,bushland,cloudy,Two
Three zebras in the bushland under cloudy weather.,zebra,bushland,cloudy,Three
"

A zebra herd in a cloudy bushland.",zebra,bushland,cloudy,Multiple
"

A lone zebra in the bushland during a rainy day.",zebra,bushland,rainy,Single
Two zebras in the rainy bushland.,zebra,bushland,rainy,Two
Three zebras in the rainy bushland.,zebra,bushland,rainy,Three
A herd of zebras in the rainy bushland.,zebra,bushland,rainy,Multiple
"

A lone zebra in the bushland amidst stormy weather.",zebra,bushland,stormy,Single
Two zebras in the bushland during a storm.,zebra,bushland,stormy,Two
Three zebras in the bushland during a storm.,zebra,bushland,stormy,Three
"

A group of zebras huddled together in the bushland as the storm raged on. The rain poured down in sheets, obscuring their stripes. The wind howled through the trees, causing branches to snap and leaves",zebra,bushland,stormy,Multiple
"

A lone zebra in the foggy bushland.",zebra,bushland,foggy,Single
Two zebras in the bushland shrouded in fog.,zebra,bushland,foggy,Two
Three zebras in the bushland shrouded by fog.,zebra,bushland,foggy,Three
"

A zebra herd in foggy bushland.",zebra,bushland,foggy,Multiple
"

A lone zebra in the bushland, against the backdrop of wind-swept trees.",zebra,bushland,windy,Single
Two zebras in the bushland during a windy day.,zebra,bushland,windy,Two
Three zebras in the bushland amidst windy weather.,zebra,bushland,windy,Three
A herd of zebras in the bushland during a windy day.,zebra,bushland,windy,Multiple
"

A single zebra in the bushland under clear skies.",zebra,bushland,clear,Single
Two zebras in the bushland under clear skies.,zebra,bushland,clear,Two
Three zebras in the bushland under clear skies.,zebra,bushland,clear,Three
"

Clear day in the bushland, a group of zebras grazing.",zebra,bushland,clear,Multiple
A lone zebra in the arid bushland during the dry season.,zebra,bushland,dry season,Single
Two zebras in the bushland during the dry season.,zebra,bushland,dry season,Two
Three zebras in the bushland during the dry season.,zebra,bushland,dry season,Three
A herd of zebras in the bushland during the dry season.,zebra,bushland,dry season,Multiple
"

A lone zebra in the bushland during the wet season.",zebra,bushland,wet season,Single
Two zebras in the bushland during the wet season.,zebra,bushland,wet season,Two
Three zebras in the bushland during the wet season.,zebra,bushland,wet season,Three
"

A herd of zebras in the bushland during the wet season.",zebra,bushland,wet season,Multiple
A lone zebra in the sunny national park.,zebra,national park,sunny,Single
Two zebras in a national park under sunny weather.,zebra,national park,sunny,Two
Three zebras in a sunny national park.,zebra,national park,sunny,Three
"

A sunny day in the national park with a large herd of zebras grazing in the open grasslands.",zebra,national park,sunny,Multiple
A lone zebra in the national park under cloudy weather.,zebra,national park,cloudy,Single
Two zebras in a national park under cloudy weather.,zebra,national park,cloudy,Two
Three zebras in a national park under cloudy weather.,zebra,national park,cloudy,Three
"

A group of zebras in a cloudy national park.",zebra,national park,cloudy,Multiple
A lone zebra in the rainy national park.,zebra,national park,rainy,Single
Two zebras in a national park during rainy weather.,zebra,national park,rainy,Two
Three zebras in a national park during rainy weather.,zebra,national park,rainy,Three
"

A rainy national park teeming with numerous zebras.",zebra,national park,rainy,Multiple
A lone zebra in the national park during a storm.,zebra,national park,stormy,Single
Two zebras in a national park during a storm.,zebra,national park,stormy,Two
Three zebras in a national park during a storm.,zebra,national park,stormy,Three
"

A herd of zebras in a stormy national park.",zebra,national park,stormy,Multiple
A lone zebra in the foggy national park.,zebra,national park,foggy,Single
Two zebras in a national park shrouded in fog.,zebra,national park,foggy,Two
Three zebras in a national park shrouded in fog.,zebra,national park,foggy,Three
"

Foggy national park: A dozen zebras huddled together, their stripes barely visible through the thick fog.",zebra,national park,foggy,Multiple
A lone zebra in the national park amidst windy weather.,zebra,national park,windy,Single
Two zebras in a national park under windy conditions.,zebra,national park,windy,Two
Three zebras in a national park under windy conditions.,zebra,national park,windy,Three
"Windy national park, herd of zebras grazing.",zebra,national park,windy,Multiple
A lone zebra in the national park under clear skies.,zebra,national park,clear,Single
Two zebras in a national park under clear skies.,zebra,national park,clear,Two
Three zebras in a national park under clear skies.,zebra,national park,clear,Three
"

Clear day in the national park, a large herd of zebras grazing.",zebra,national park,clear,Multiple
A lone zebra in the dry national park.,zebra,national park,dry season,Single
Two zebras in a national park during the dry season.,zebra,national park,dry season,Two
Three zebras in a national park during the dry season.,zebra,national park,dry season,Three
A herd of zebras in a dry national park.,zebra,national park,dry season,Multiple
A lone zebra in a national park during the wet season.,zebra,national park,wet season,Single
Two zebras in a national park during the wet season.,zebra,national park,wet season,Two
Three zebras in a national park during the wet season.,zebra,national park,wet season,Three
"

A herd of zebras in a lush national park during the wet season.",zebra,national park,wet season,Multiple
"

A single zebra in the open plains under a sunny sky.",zebra,open plains,sunny,Single
Two zebras in the open plains under a sunny sky.,zebra,open plains,sunny,Two
Three zebras roaming the open plains under a sunny sky.,zebra,open plains,sunny,Three
"

A herd of zebras roaming freely in the sunlit open plains.",zebra,open plains,sunny,Multiple
"

A lone zebra roams the open plains under overcast skies.",zebra,open plains,cloudy,Single
Two zebras in the open plains under cloudy weather.,zebra,open plains,cloudy,Two
Three zebras roaming the open plains under cloudy skies.,zebra,open plains,cloudy,Three
"

A zebra herd roaming the open plains under overcast skies.",zebra,open plains,cloudy,Multiple
"

A lone zebra in the open plains amidst a rain shower.",zebra,open plains,rainy,Single
Two zebras in the open plains under a rainy sky.,zebra,open plains,rainy,Two
Three zebras roaming the open plains under a rainy sky.,zebra,open plains,rainy,Three
